epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.789,2.65982,5.04413,1.78124,0.00585,0.4251,0.01085,0.00411,1.85264,4.63329,1.44499,0.000220065,0.000220065,0.000220065
2,319.645,2.02207,4.14666,1.39682,0.03072,0.0974,0.02121,0.0092,1.77235,4.18235,1.38537,0.000433638,0.000433638,0.000433638
3,480.973,1.86428,3.86526,1.36119,0.03846,0.05581,0.02979,0.01297,1.70581,3.9037,1.40451,0.000638408,0.000638408,0.000638408
4,639.872,1.80049,3.71927,1.33958,0.02854,0.34922,0.03008,0.0129,1.68789,3.8206,1.38519,0.00062738,0.00062738,0.00062738
5,799.991,1.796,3.63455,1.36464,0.03599,0.2474,0.03193,0.0156,1.602,3.65038,1.37001,0.000614174,0.000614174,0.000614174
6,960.996,1.73402,3.4757,1.34427,0.01256,0.65445,0.02734,0.01166,1.67442,3.75887,1.39987,0.000600967,0.000600967,0.000600967
7,1120.42,1.71148,3.39034,1.3408,0.15621,0.09713,0.04396,0.01934,1.62706,3.58147,1.39022,0.00058776,0.00058776,0.00058776
8,1279.84,1.65826,3.33444,1.3203,0.07394,0.1127,0.05287,0.02338,1.52096,3.26289,1.32946,0.000574554,0.000574554,0.000574554
9,1438.49,1.65318,3.27198,1.3236,0.04532,0.25129,0.04397,0.01938,1.53437,3.32142,1.33012,0.000561347,0.000561347,0.000561347
10,1598.54,1.66829,3.18384,1.32624,0.15592,0.05745,0.04421,0.0186,1.60969,3.31646,1.34985,0.000548141,0.000548141,0.000548141
11,1758.76,1.59733,3.16655,1.31725,0.09096,0.09845,0.06524,0.02871,1.48094,3.07718,1.32339,0.000534934,0.000534934,0.000534934
12,1940.12,1.61621,3.06642,1.31255,0.22635,0.1259,0.071,0.03035,1.50012,3.0706,1.30854,0.000521727,0.000521727,0.000521727
13,2133.85,1.60606,3.0191,1.30891,0.2143,0.14239,0.0875,0.03936,1.464,2.96709,1.31751,0.000508521,0.000508521,0.000508521
14,2332.49,1.57561,3.02522,1.28994,0.09677,0.16833,0.0781,0.03508,1.44873,2.97018,1.30651,0.000495314,0.000495314,0.000495314
15,2523.94,1.57311,3.01897,1.29365,0.35401,0.08639,0.07588,0.03417,1.45534,3.02863,1.30491,0.000482108,0.000482108,0.000482108
16,2715.09,1.58721,2.91331,1.28486,0.10118,0.1351,0.08066,0.03836,1.45139,2.9676,1.31959,0.000468901,0.000468901,0.000468901
17,2894.36,1.54837,2.91026,1.28721,0.12688,0.11893,0.08756,0.04327,1.41941,2.88607,1.29619,0.000455694,0.000455694,0.000455694
18,3056.15,1.54277,2.84459,1.28744,0.17288,0.09942,0.09855,0.04586,1.40739,2.87857,1.28878,0.000442488,0.000442488,0.000442488
19,3217.26,1.51168,2.79549,1.26751,0.15783,0.24021,0.12901,0.05594,1.3956,2.74894,1.28567,0.000429281,0.000429281,0.000429281
20,3378.91,1.49661,2.80468,1.27679,0.18132,0.20332,0.12412,0.06137,1.42122,2.71254,1.28754,0.000416075,0.000416075,0.000416075
21,3542.84,1.49618,2.7887,1.26627,0.32188,0.14091,0.09786,0.04658,1.40568,2.76233,1.26109,0.000402868,0.000402868,0.000402868
22,3704.27,1.47756,2.73359,1.25188,0.11979,0.20302,0.10473,0.04381,1.4547,2.79876,1.2942,0.000389661,0.000389661,0.000389661
23,3865.41,1.49113,2.68918,1.25422,0.22023,0.19181,0.12858,0.0594,1.39997,2.67459,1.27054,0.000376455,0.000376455,0.000376455
24,4026.59,1.45483,2.65089,1.24243,0.19423,0.2307,0.15115,0.07687,1.36018,2.56077,1.26692,0.000363248,0.000363248,0.000363248
25,4188.45,1.47633,2.64202,1.24197,0.18772,0.20733,0.13526,0.06261,1.38149,2.64024,1.26537,0.000350042,0.000350042,0.000350042
26,4351.59,1.46417,2.68376,1.25248,0.18726,0.22684,0.14304,0.06475,1.36724,2.62217,1.26536,0.000336835,0.000336835,0.000336835
