epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.6917,3.29836,13.7915,1.7491,0.0011,0.06512,0.00375,0.00122,2.27295,8.43783,1.19797,0.000217887,0.000217887,0.000217887
2,198.199,2.43672,7.70115,1.29419,0.00435,0.38445,0.03346,0.01188,2.05671,7.75151,1.19416,0.000431504,0.000431504,0.000431504
3,293.858,2.28933,6.90615,1.19624,0.7663,0.01477,0.05472,0.02165,2.03346,7.36955,1.2867,0.000636316,0.000636316,0.000636316
4,368.004,2.16187,6.47131,1.13888,0.2054,0.0758,0.04023,0.01973,1.89321,6.39675,1.18554,0.00062738,0.00062738,0.00062738
5,442.029,2.08504,6.21319,1.18067,0.05749,0.09351,0.07196,0.02726,1.76082,6.40094,1.15986,0.000614174,0.000614174,0.000614174
6,516.703,2.07626,5.86082,1.14535,0.23139,0.25211,0.09428,0.04453,1.80456,5.98634,1.12608,0.000600967,0.000600967,0.000600967
7,591.213,1.94101,5.40907,1.14773,0.06595,0.2191,0.07746,0.0354,1.71048,5.54049,1.13513,0.00058776,0.00058776,0.00058776
8,666.103,1.88392,5.183,1.10642,0.07284,0.1751,0.07867,0.03646,1.62491,5.39161,1.09331,0.000574554,0.000574554,0.000574554
9,739.813,1.89029,4.93649,1.12423,0.1432,0.07025,0.08132,0.03413,1.61171,5.42195,1.07198,0.000561347,0.000561347,0.000561347
10,814.242,1.84099,4.66734,1.13424,0.08294,0.1817,0.09874,0.04649,1.50818,5.02576,1.06442,0.000548141,0.000548141,0.000548141
11,888.45,1.77559,4.64172,1.10978,0.18114,0.17379,0.10555,0.03815,1.5314,4.80844,1.10919,0.000534934,0.000534934,0.000534934
12,962.756,1.753,4.34341,1.10493,0.08989,0.24069,0.10469,0.05546,1.51092,4.65788,1.06764,0.000521727,0.000521727,0.000521727
13,1037.07,1.73729,4.34349,1.09207,0.07395,0.18647,0.10911,0.05571,1.49047,4.3438,1.08893,0.000508521,0.000508521,0.000508521
14,1111.95,1.71112,4.05242,1.08046,0.25283,0.18445,0.11672,0.05831,1.46582,4.29176,1.06342,0.000495314,0.000495314,0.000495314
15,1186.57,1.68817,3.90267,1.04997,0.16208,0.32262,0.11943,0.06184,1.48588,4.26111,1.06833,0.000482108,0.000482108,0.000482108
16,1260.44,1.6442,3.90376,1.07154,0.16701,0.29714,0.15715,0.10321,1.44795,3.86905,1.06875,0.000468901,0.000468901,0.000468901
17,1334.85,1.68153,3.67399,1.0856,0.15243,0.1825,0.15134,0.09461,1.34288,3.80673,1.04125,0.000455694,0.000455694,0.000455694
18,1408.52,1.65383,3.73924,1.0786,0.26068,0.20822,0.16286,0.09789,1.4085,3.67659,1.03499,0.000442488,0.000442488,0.000442488
